Date,^OMXSPI
2020-12-01,768.3800048828125
2021-01-01,787.8699951171875
2021-02-01,810.780029296875
2021-03-01,873.3900146484375
2021-04-01,897.2000122070312
2021-05-01,913.77001953125
2021-06-01,916.5900268554688
2021-07-01,984.6699829101562
2021-08-01,989.4299926757812
2021-09-01,927.6199951171875
2021-10-01,969.9600219726562
2021-11-01,986.3300170898438
2021-12-01,1037.1400146484375
2022-01-01,935.0900268554688
2022-02-01,871.8599853515625
2022-03-01,887.4400024414062
2022-04-01,845.510009765625
2022-05-01,832.8200073242188
2022-06-01,734.280029296875
2022-07-01,822.7100219726562
2022-08-01,763.0800170898438
2022-09-01,706.2000122070312
2022-10-01,750.4199829101562
2022-11-01,803.4000244140625
2022-12-01,781.8599853515625
2023-01-01,843.3300170898438
2023-02-01,853.47998046875
2023-03-01,842.9299926757812
2023-04-01,858.6099853515625
2023-05-01,830.2899780273438
2023-06-01,847.6900024414062
2023-07-01,844.6300048828125
2023-08-01,812.5499877929688
2023-09-01,795.3699951171875
2023-10-01,766.0399780273438
2023-11-01,834.4199829101562
2023-12-01,903.780029296875
2024-01-01,888.52001953125
2024-02-01,922.239990234375
2024-03-01,963.3400268554688
2024-04-01,957.9500122070312
2024-05-01,990.8400268554688
2024-06-01,975.0399780273438
2024-07-01,1003.4099731445312
2024-08-01,1003.0499877929688
2024-09-01,1015.8800048828125
2024-10-01,973.3400268554688
2024-11-01,965.6400146484375
2024-12-01,954.5900268554688
2025-01-01,1025.800048828125
2025-02-01,1032.81005859375
2025-03-01,945.2100219726562
2025-04-01,931.1799926757812
2025-05-01,948.780029296875
2025-06-01,953.1300048828125
2025-07-01,971.4299926757812
2025-08-01,981.1799926757812
2025-09-01,985.0499877929688
2025-10-01,1024.030029296875
2025-11-01,1022.6300048828125
