Date,EWQ
2020-12-31,28.457828521728516
2021-01-31,27.85046768188477
2021-02-28,29.123043060302734
2021-03-31,29.948495864868164
2021-04-30,31.797168731689453
2021-05-31,33.51686477661133
2021-06-30,32.54524230957031
2021-07-31,33.3337516784668
2021-08-31,33.62065505981445
2021-09-30,32.377384185791016
2021-10-31,34.177093505859375
2021-11-30,32.85556411743164
2021-12-31,33.80323791503906
2022-01-31,33.842132568359375
2022-02-28,31.55562210083008
2022-03-31,31.55562210083008
2022-04-30,29.42988395690918
2022-05-31,30.635658264160156
2022-06-30,26.803970336914062
2022-07-31,29.37482452392578
2022-08-31,27.233964920043945
2022-09-30,24.624500274658203
2022-10-31,27.2799015045166
2022-11-30,31.037891387939453
2022-12-31,30.431474685668945
2023-01-31,34.08371353149414
2023-02-28,33.67795944213867
2023-03-31,34.85834884643555
2023-04-30,36.490604400634766
2023-05-31,34.120601654052734
2023-06-30,35.53153610229492
2023-07-31,36.90607070922851
2023-08-31,35.501468658447266
2023-09-30,33.55010986328125
2023-10-31,32.47545623779297
2023-11-30,35.4166259765625
2023-12-31,36.93434524536133
2024-01-31,36.783409118652344
2024-02-29,38.14962387084961
2024-03-31,39.28813171386719
2024-04-30,37.98833465576172
2024-05-31,39.56327438354492
2024-06-30,35.84413528442383
2024-07-31,37.37240219116211
2024-08-31,38.70193099975586
2024-09-30,39.206573486328125
2024-10-31,36.79012680053711
2024-11-30,35.17916488647461
2024-12-31,34.820098876953125
2025-01-31,37.76955032348633
2025-02-28,38.65928268432617
2025-03-31,38.91349029541016
2025-04-30,40.12586975097656
2025-05-31,41.543575286865234
2025-06-30,41.84666442871094
2025-07-31,41.939998626708984
2025-08-31,42.59000015258789
2025-09-30,43.93000030517578
2025-10-31,44.279998779296875
2025-11-30,44.56999969482422
