Date,^IBEX
2020-12-01,8073.7001953125
2021-01-01,7757.5
2021-02-01,8225.0
2021-03-01,8580.0
2021-04-01,8815.0
2021-05-01,9148.900390625
2021-06-01,8821.2001953125
2021-07-01,8675.7001953125
2021-08-01,8846.599609375
2021-09-01,8796.2998046875
2021-10-01,9057.7001953125
2021-11-01,8305.099609375
2021-12-01,8713.7998046875
2022-01-01,8612.7998046875
2022-02-01,8479.2001953125
2022-03-01,8445.099609375
2022-04-01,8584.2001953125
2022-05-01,8851.5
2022-06-01,8098.7001953125
2022-07-01,8156.2001953125
2022-08-01,7886.10009765625
2022-09-01,7366.7998046875
2022-10-01,7956.5
2022-11-01,8363.2001953125
2022-12-01,8229.099609375
2023-01-01,9034.0
2023-02-01,9394.599609375
2023-03-01,9232.5
2023-04-01,9241.0
2023-05-01,9050.2001953125
2023-06-01,9593.0
2023-07-01,9641.5
2023-08-01,9505.900390625
2023-09-01,9428.0
2023-10-01,9017.2998046875
2023-11-01,10058.2001953125
2023-12-01,10102.099609375
2024-01-01,10077.7001953125
2024-02-01,10001.2998046875
2024-03-01,11074.599609375
2024-04-01,10854.400390625
2024-05-01,11322.0
2024-06-01,10943.7001953125
2024-07-01,11065.0
2024-08-01,11401.900390625
2024-09-01,11877.2998046875
2024-10-01,11672.599609375
2024-11-01,11641.2998046875
2024-12-01,11595.0
2025-01-01,12368.900390625
2025-02-01,13347.2998046875
2025-03-01,13135.400390625
2025-04-01,13287.7998046875
2025-05-01,14152.2001953125
2025-06-01,13991.900390625
2025-07-01,14397.0
2025-08-01,14935.7998046875
2025-09-01,15475.0
2025-10-01,16032.599609375
2025-11-01,16371.599609375
