Date,EWL
2020-12-31,40.43570709228515
2021-01-31,39.8685188293457
2021-02-28,39.144134521484375
2021-03-31,40.03150939941406
2021-04-30,41.914920806884766
2021-05-31,44.12430191040039
2021-06-30,44.03375625610352
2021-07-31,46.33342361450195
2021-08-31,46.88676834106445
2021-09-30,42.95801544189453
2021-10-31,45.95530700683594
2021-11-30,45.5402946472168
2021-12-31,48.62980270385742
2022-01-31,45.49418640136719
2022-02-28,44.2122688293457
2022-03-31,45.28206634521485
2022-04-30,42.79201889038086
2022-05-31,42.00811004638672
2022-06-30,38.30070114135742
2022-07-31,40.9096565246582
2022-08-31,38.20052719116211
2022-09-30,35.22801971435547
2022-10-31,36.789527893066406
2022-11-30,40.345252990722656
2022-12-31,39.44221496582031
2023-01-31,42.56522750854492
2023-02-28,40.796775817871094
2023-03-31,42.63107681274414
2023-04-30,45.23672866821289
2023-05-31,43.524715423583984
2023-06-30,43.46826934814453
2023-07-31,45.87196731567383
2023-08-31,44.352840423583984
2023-09-30,41.89146041870117
2023-10-31,40.305023193359375
2023-11-30,43.670188903808594
2023-12-31,46.41039276123047
2024-01-31,45.67967224121094
2024-02-29,45.01625442504883
2024-03-31,45.766204833984375
2024-04-30,43.61250305175781
2024-05-31,47.266109466552734
2024-06-30,46.35270309448242
2024-07-31,49.48592376708984
2024-08-31,51.87090301513672
2024-09-30,51.13479995727539
2024-10-31,48.43574523925781
2024-11-30,47.297237396240234
2024-12-31,45.10854721069336
2025-01-31,48.65167236328125
2025-02-28,50.77165603637695
2025-03-31,50.830543518066406
2025-04-30,52.8621940612793
2025-05-31,54.15774154663086
2025-06-30,53.79459762573242
2025-07-31,52.720001220703125
2025-08-31,55.33000183105469
2025-09-30,55.2400016784668
2025-10-31,55.36000061035156
2025-11-30,57.81999969482422
