Date,EWI
2020-12-31,24.79633903503418
2021-01-31,24.074880599975582
2021-02-28,25.40812873840332
2021-03-31,26.75836181640625
2021-04-30,26.843280792236328
2021-05-31,28.456762313842773
2021-06-30,27.50565528869629
2021-07-31,27.924863815307617
2021-08-31,28.320228576660156
2021-09-30,27.202890396118164
2021-10-31,28.775758743286133
2021-11-30,27.03958320617676
2021-12-31,28.19989967346191
2022-01-31,28.26543235778809
2022-02-28,26.365385055541992
2022-03-31,25.73784446716309
2022-04-30,23.90751838684082
2022-05-31,25.12773323059082
2022-06-30,20.987714767456055
2022-07-31,22.11411476135254
2022-08-31,20.767885208129883
2022-09-30,19.29599952697754
2022-10-31,21.61151885986328
2022-11-30,24.96812629699707
2022-12-31,24.1783390045166
2023-01-31,27.581796646118164
2023-02-28,27.34488868713379
2023-03-31,27.727588653564453
2023-04-30,28.848352432250977
2023-05-31,27.044193267822266
2023-06-30,29.003259658813477
2023-07-31,31.271150588989254
2023-08-31,29.96429443359375
2023-09-30,28.396068572998047
2023-10-31,27.910667419433594
2023-11-30,30.785747528076172
2023-12-31,31.672536849975582
2024-01-31,31.650951385498047
2024-02-29,33.67343521118164
2024-03-31,35.6486701965332
2024-04-30,34.542911529541016
2024-05-31,36.69771194458008
2024-06-30,33.881351470947266
2024-07-31,35.95185852050781
2024-08-31,37.607154846191406
2024-09-30,37.7136344909668
2024-10-31,36.803707122802734
2024-11-30,35.177452087402344
2024-12-31,34.81928634643555
2025-01-31,37.88189697265625
2025-02-28,40.09290313720703
2025-03-31,41.5865592956543
2025-04-30,43.44380187988281
2025-05-31,46.942108154296875
2025-06-30,47.305694580078125
2025-07-31,48.25
2025-08-31,51.04999923706055
2025-09-30,51.95000076293945
2025-10-31,51.810001373291016
2025-11-30,52.93000030517578
